trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.3941353286694,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
166,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.70258145273702,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.4762677777437,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
168,False,"{'a': 0.5, 'e': 1.0}",20,10,-18.959934519436302,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 1.0}",30,0,-304.7822767987146,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 5}",0
170,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.58765310687744,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
171,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.83756692090348,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
172,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.78540035863081,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
173,False,"{'a': 0.5, 'e': 1.0}",30,0,-264.4236547258535,"{0: 13, 1: 6, 2: 5, 3: 2, 4: 4}",0
174,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.58215242625143,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
175,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.15815448568867,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
176,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.6551393043144,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
177,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.9553018923255,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
178,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.55694049151793,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
179,False,"{'a': 0.5, 'e': 1.0}",35,0,-184.49262726801524,"{0: 21, 1: 5, 2: 5, 3: 1, 4: 3}",0
180,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.9488143971527,"{0: 7, 1: 2, 2: 9, 3: 0, 4: 2}",0
181,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.82946833545537,"{0: 15, 1: 6, 2: 5, 3: 2, 4: 2}",0
182,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.98367589591095,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
183,False,"{'a': 0.5, 'e': 1.0}",30,11,-96.14495224187094,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 1}",1
184,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.46114675246753,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
185,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.56298400145497,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
186,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.551289733082704,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
187,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.48403658140955,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
188,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.70789140889,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
189,False,"{'a': 0.5, 'e': 1.0}",30,9,-122.69395659600417,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 2}",1
190,False,"{'a': 0.5, 'e': 1.0}",20,0,-204.00111764454928,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
191,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.53355439804594,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
192,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.26064427477178,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
193,False,"{'a': 0.5, 'e': 1.0}",25,0,-21.596495761133564,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
194,False,"{'a': 0.5, 'e': 1.0}",30,0,-38.767754735166804,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
