trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.5, 'e': 0.5185893309484582}",30,0,-139.63381020119036,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 4}",0
132,False,"{'a': 0.5, 'e': 0.5159963842937159}",25,10,-23.04530497163086,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.5134164023722473}",20,0,-81.5421299461288,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.510849320360386}",25,0,-99.93990674888606,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.5082950737585841}",25,15,19.687083108714347,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.5057535983897912}",35,15,-65.34329308813852,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.5032248303978422}",20,0,-97.65621624070114,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.500708706245853}",20,0,-12.264192084042675,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.4982051627146237}",20,0,-101.07740846670517,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.49571413690105054}",25,5,-46.359221056261745,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.4932355662165453}",20,15,10.519209605181349,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.4907693883854626}",20,0,-36.18976043883647,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.4883155414435353}",35,20,3.599665959379869,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.4858739637363176}",30,1,-64.60396614328474,"{0: 23, 1: 2, 2: 1, 3: 2, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.483444593917636}",20,0,-15.537397943745622,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.4810273709480478}",20,14,-2.245603344000943,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.47862223409330756}",20,4,-63.54168842792286,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
148,False,"{'a': 0.5, 'e': 0.47622912292284103}",20,0,-75.44043328122012,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.4738479773082268}",25,9,-42.004136839043674,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.47147873742168567}",25,14,-17.87479425144114,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.46912134373457726}",20,0,-31.189084685917134,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.46677573701590436}",30,6,5.080001074601439,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.46444185833082485}",25,17,0.965553407883176,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.46211964903917074}",25,12,3.014157484514893,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.4598090507939749}",30,0,-109.18509565411794,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 3}",0
